inspection_id,batch_id,machine_id,line_id,factory_id,product_id,supplier_id,operator_id,inspection_date,inspector_id,sample_size,passed_samples,failed_samples,defect_type,defect_severity,measured_dimension_mm,inspection_result,estimated_quality_loss_inr
QIN000001,BAT000278,MCH0212,LIN030,FAC010,PRD0100,SUP0119,OPR0248,2025-09-16,INS034,126,110,16,Burr,Minor,51.535,Fail,31024.34
QIN000002,BAT023553,MCH0490,LIN018,FAC006,PRD0052,SUP0067,OPR0065,2026-03-01,INS072,116,101,15,Electrical Failure,Minor,49.781,Fail,90365.47
QIN000003,BAT022788,MCH0162,LIN014,FAC005,PRD0016,SUP0177,OPR0137,2024-08-18,INS073,98,88,10,Porosity,Minor,50.136,Fail,40243.43
QIN000004,BAT038463,MCH0293,LIN023,FAC008,PRD0068,SUP0178,OPR0390,2025-06-07,INS040,102,86,16,Discoloration,Major,48.338,Fail,71586.36
QIN000005,BAT013874,MCH0073,LIN002,FAC001,PRD0013,SUP0182,OPR0889,2025-09-02,INS076,44,40,4,Porosity,Minor,48.868,Fail,347.44
QIN000006,BAT011754,MCH0012,LIN030,FAC010,PRD0031,SUP0058,OPR0577,2024-07-19,INS025,192,181,11,Surface Crack,Minor,49.19,Fail,414.06
QIN000007,BAT018287,MCH0184,LIN001,FAC001,PRD0142,SUP0108,OPR0145,2024-05-29,INS078,109,105,4,Surface Crack,Major,49.904,Pass,3338.85
QIN000008,BAT058132,MCH0222,LIN028,FAC010,PRD0066,SUP0061,OPR0267,2023-11-12,INS063,145,123,22,Surface Crack,Minor,50.657,Fail,3684.07
QIN000009,BAT057332,MCH0096,LIN010,FAC004,PRD0053,SUP0092,OPR0013,2025-03-17,INS065,125,97,28,Packaging Damage,Minor,49.379,Fail,11539.37
QIN000010,BAT038579,MCH0116,LIN010,FAC004,PRD0107,SUP0194,OPR0881,2024-10-10,INS058,99,96,3,Porosity,Minor,50.176,Pass,2860.07
QIN000011,BAT027467,MCH0055,LIN029,FAC010,PRD0014,SUP0083,OPR0937,2023-01-24,INS009,218,211,7,Packaging Damage,Major,49.86,Pass,2659.29
QIN000012,BAT048268,MCH0437,LIN015,FAC005,PRD0107,SUP0194,OPR0208,2023-09-26,INS032,82,74,8,Discoloration,Minor,50.443,Fail,28654.34
QIN000013,BAT037705,MCH0388,LIN011,FAC004,PRD0011,SUP0200,OPR0756,2024-04-15,INS062,166,141,25,Surface Crack,Minor,49.985,Fail,15867.04
QIN000014,BAT007335,MCH0559,LIN019,FAC007,PRD0116,SUP0009,OPR0884,2025-02-21,INS079,240,224,16,Discoloration,Minor,48.277,Fail,4360.98
QIN000015,BAT036884,MCH0504,LIN008,FAC003,PRD0093,SUP0192,OPR0319,2024-01-29,INS032,32,28,4,Burr,Critical,49.849,Fail,13060.37
QIN000016,BAT004171,MCH0454,LIN022,FAC008,PRD0142,SUP0108,OPR0446,2023-09-01,INS039,39,33,6,Misalignment,Major,49.213,Fail,25567.99
QIN000017,BAT037417,MCH0098,LIN002,FAC001,PRD0118,SUP0033,OPR0597,2024-09-22,INS018,159,146,13,Burr,Major,48.995,Fail,27064.82
QIN000018,BAT055421,MCH0159,LIN014,FAC005,PRD0040,SUP0160,OPR0534,2026-06-17,INS090,139,125,14,Discoloration,Minor,48.777,Fail,31469.34
QIN000019,BAT005033,MCH0593,LIN019,FAC007,PRD0034,SUP0123,OPR0360,2025-05-14,INS019,121,110,11,Burr,Minor,50.778,Fail,36564.6
QIN000020,BAT010212,MCH0284,LIN006,FAC002,PRD0139,SUP0088,OPR0920,2026-06-17,INS050,131,108,23,Packaging Damage,Minor,50.85,Fail,45925.49
