failure_event_id,machine_id,line_id,factory_id,failure_timestamp,failure_mode,failure_severity,sensor_precursor_days,repair_duration_hours,estimated_failure_loss_inr,resolution_status
FLR000001,MCH0296,LIN026,FAC009,2026-02-12 11:52:47,Tool Wear,Major,6,4.96,339981.62,Open
FLR000002,MCH0573,LIN004,FAC002,2025-05-24 10:22:32,Bearing Failure,Minor,2,4.01,132393.65,Open
FLR000003,MCH0388,LIN011,FAC004,2023-08-11 10:12:05,Sensor Failure,Critical,3,10.37,586745.98,Resolved
FLR000004,MCH0202,LIN009,FAC003,2024-01-01 21:26:00,Hydraulic Leak,Minor,7,17.13,1150036.04,Resolved
FLR000005,MCH0321,LIN029,FAC010,2025-04-01 13:33:41,Excessive Vibration,Major,4,5.65,586168.29,Resolved
FLR000006,MCH0600,LIN014,FAC005,2025-02-04 01:05:08,Lubrication Failure,Minor,6,6.53,518413.26,Open
FLR000007,MCH0442,LIN001,FAC001,2024-08-23 12:00:31,Tool Wear,Critical,6,11.24,1111387.83,Resolved
FLR000008,MCH0212,LIN030,FAC010,2025-07-16 05:02:34,Sensor Failure,Minor,3,6.69,344655.81,Resolved
FLR000009,MCH0287,LIN017,FAC006,2024-10-17 03:39:42,Sensor Failure,Minor,7,2.21,216382.27,Open
FLR000010,MCH0466,LIN005,FAC002,2024-04-02 08:38:36,Electrical Fault,Major,4,2.81,314293.93,Resolved
FLR000011,MCH0336,LIN021,FAC007,2023-02-25 01:17:50,Excessive Vibration,Major,5,5.39,238092.75,Resolved
FLR000012,MCH0128,LIN027,FAC009,2025-11-24 14:58:27,Overheating,Minor,4,3.2,236667.17,Resolved
FLR000013,MCH0309,LIN007,FAC003,2023-12-10 09:23:55,Electrical Fault,Minor,2,8.75,377224.36,Resolved
FLR000014,MCH0569,LIN014,FAC005,2024-06-29 14:09:24,Tool Wear,Minor,7,4.65,483668.51,Resolved
FLR000015,MCH0232,LIN030,FAC010,2023-07-12 15:42:47,Tool Wear,Minor,5,9.66,730235.07,Resolved
FLR000016,MCH0215,LIN014,FAC005,2023-01-05 20:43:19,Lubrication Failure,Major,7,1.27,77044.03,Resolved
FLR000017,MCH0551,LIN025,FAC009,2023-02-25 18:52:09,Sensor Failure,Major,4,2.52,90017.98,Open
FLR000018,MCH0073,LIN002,FAC001,2026-04-24 06:53:51,Excessive Vibration,Major,6,7.52,806480.66,Resolved
FLR000019,MCH0053,LIN007,FAC003,2026-03-05 12:51:50,Hydraulic Leak,Minor,2,3.53,397145.03,Open
FLR000020,MCH0554,LIN028,FAC010,2025-09-15 10:26:16,Tool Wear,Major,2,11.23,964057.96,Resolved
FLR000021,MCH0072,LIN011,FAC004,2023-01-09 10:24:31,Overheating,Minor,5,2.67,309777.26,Resolved
FLR000022,MCH0199,LIN008,FAC003,2023-08-16 00:24:19,Tool Wear,Major,5,7.66,472537.07,Open
FLR000023,MCH0587,LIN024,FAC008,2023-10-15 07:45:24,Overheating,Major,6,2.15,247390.76,Resolved
FLR000024,MCH0256,LIN005,FAC002,2023-10-20 19:22:26,Sensor Failure,Minor,3,10.71,1221073.69,Open
FLR000025,MCH0375,LIN005,FAC002,2024-11-04 02:55:03,Overheating,Minor,3,2.19,106228.67,Resolved
FLR000026,MCH0182,LIN025,FAC009,2026-02-07 09:30:04,Hydraulic Leak,Major,1,14.04,748329.13,Resolved
FLR000027,MCH0144,LIN010,FAC004,2025-12-29 23:48:55,Hydraulic Leak,Major,7,5.16,554393.86,Resolved
FLR000028,MCH0068,LIN009,FAC003,2023-10-23 01:26:46,Tool Wear,Major,1,1.49,124383.07,Resolved
FLR000029,MCH0476,LIN023,FAC008,2023-09-22 00:41:02,Electrical Fault,Minor,6,3.72,348600.39,Resolved
FLR000030,MCH0268,LIN013,FAC005,2024-12-01 15:26:11,Lubrication Failure,Minor,6,1.82,171514.5,Resolved
FLR000031,MCH0064,LIN025,FAC009,2024-03-27 17:28:57,Overheating,Major,5,0.79,38100.46,Resolved
FLR000032,MCH0381,LIN011,FAC004,2025-03-25 17:30:40,Overheating,Major,2,4.81,203270.64,Resolved
FLR000033,MCH0387,LIN005,FAC002,2026-01-28 11:22:32,Sensor Failure,Major,6,7.52,284038.01,Resolved
FLR000034,MCH0484,LIN019,FAC007,2025-02-14 05:18:16,Lubrication Failure,Minor,6,5.94,341686.05,Resolved
FLR000035,MCH0460,LIN030,FAC010,2025-06-11 14:50:41,Hydraulic Leak,Major,4,4.01,168077.46,Resolved
FLR000036,MCH0160,LIN018,FAC006,2026-06-25 04:20:42,Bearing Failure,Minor,3,18.77,724468.45,Resolved
FLR000037,MCH0514,LIN029,FAC010,2024-07-01 13:23:14,Overheating,Minor,6,6.26,601702.8,Resolved
FLR000038,MCH0119,LIN019,FAC007,2024-05-09 17:01:59,Tool Wear,Minor,7,10.12,473782.39,Resolved
FLR000039,MCH0465,LIN002,FAC001,2025-02-18 02:39:08,Overheating,Minor,1,12.56,1336670.15,Open
FLR000040,MCH0401,LIN015,FAC005,2024-07-01 04:31:27,Hydraulic Leak,Minor,1,9.63,854850.38,Resolved
FLR000041,MCH0167,LIN020,FAC007,2024-04-07 15:59:58,Overheating,Major,1,14.44,1672801.35,Resolved
FLR000042,MCH0370,LIN029,FAC010,2025-08-05 15:25:51,Excessive Vibration,Minor,5,13.46,469329.51,Open
FLR000043,MCH0009,LIN026,FAC009,2023-06-12 04:41:24,Excessive Vibration,Major,6,10.04,277991.99,Open
FLR000044,MCH0474,LIN003,FAC001,2024-07-22 07:06:04,Excessive Vibration,Critical,5,13.69,1215299.58,Open
FLR000045,MCH0281,LIN027,FAC009,2024-11-06 15:48:55,Bearing Failure,Major,5,10.22,886893.49,Open
FLR000046,MCH0095,LIN022,FAC008,2023-06-22 22:41:11,Tool Wear,Major,4,20.1,632256.57,Resolved
FLR000047,MCH0494,LIN001,FAC001,2025-10-07 01:37:12,Electrical Fault,Critical,5,22.29,2217218.3,Resolved
FLR000048,MCH0123,LIN019,FAC007,2025-03-01 13:44:50,Excessive Vibration,Major,4,1.87,193034.43,Resolved
FLR000049,MCH0311,LIN023,FAC008,2024-12-29 01:43:30,Lubrication Failure,Minor,4,5.21,185168.79,Resolved
FLR000050,MCH0147,LIN028,FAC010,2026-05-22 14:53:33,Overheating,Minor,7,10.75,800908.24,Resolved
FLR000051,MCH0140,LIN013,FAC005,2025-08-11 07:42:01,Excessive Vibration,Minor,6,9.4,660791.94,Resolved
FLR000052,MCH0454,LIN022,FAC008,2023-04-11 08:36:43,Sensor Failure,Critical,3,14.5,1565913.09,Resolved
FLR000053,MCH0140,LIN013,FAC005,2026-01-20 09:09:40,Sensor Failure,Minor,3,11.48,1008926.94,Resolved
FLR000054,MCH0569,LIN014,FAC005,2025-06-16 16:41:57,Lubrication Failure,Minor,7,3.02,154682.28,Resolved
FLR000055,MCH0407,LIN018,FAC006,2025-07-15 04:52:35,Electrical Fault,Minor,2,19.61,909736.33,Resolved
FLR000056,MCH0500,LIN025,FAC009,2024-07-19 06:26:41,Tool Wear,Minor,4,5.27,420707.51,Open
FLR000057,MCH0132,LIN018,FAC006,2023-12-08 09:59:40,Bearing Failure,Major,6,3.47,221891.71,Resolved
FLR000058,MCH0379,LIN027,FAC009,2026-03-10 02:52:22,Lubrication Failure,Major,1,1.6,107470.12,Resolved
FLR000059,MCH0549,LIN013,FAC005,2024-01-19 03:23:51,Hydraulic Leak,Minor,2,3.61,216715.67,Resolved
FLR000060,MCH0254,LIN013,FAC005,2023-05-27 07:52:21,Excessive Vibration,Major,6,11.09,1239273.38,Resolved
FLR000061,MCH0136,LIN019,FAC007,2024-02-06 00:05:08,Hydraulic Leak,Major,5,3.35,95261.17,Resolved
FLR000062,MCH0494,LIN001,FAC001,2026-05-14 10:37:35,Sensor Failure,Major,4,4.68,152320.7,Open
FLR000063,MCH0120,LIN007,FAC003,2023-10-21 20:50:27,Lubrication Failure,Major,5,20.54,676981.66,Resolved
FLR000064,MCH0235,LIN025,FAC009,2024-08-07 04:49:23,Hydraulic Leak,Major,2,13.11,879837.4,Resolved
FLR000065,MCH0206,LIN007,FAC003,2024-05-29 15:01:35,Electrical Fault,Minor,6,4.62,326515.81,Resolved
FLR000066,MCH0436,LIN013,FAC005,2023-06-18 20:28:42,Overheating,Major,6,6.34,368063.84,Open
FLR000067,MCH0114,LIN004,FAC002,2023-04-21 10:06:55,Overheating,Major,4,0.89,54563.37,Resolved
FLR000068,MCH0086,LIN003,FAC001,2025-01-15 13:47:37,Hydraulic Leak,Major,1,16.37,654257.17,Resolved
FLR000069,MCH0560,LIN024,FAC008,2025-11-25 18:15:49,Excessive Vibration,Critical,3,13.7,456003.44,Resolved
FLR000070,MCH0019,LIN029,FAC010,2025-09-08 03:42:02,Tool Wear,Major,5,4.42,528868.38,Resolved
FLR000071,MCH0580,LIN007,FAC003,2023-11-10 11:53:45,Hydraulic Leak,Minor,6,3.03,255946.49,Open
FLR000072,MCH0435,LIN027,FAC009,2025-08-14 03:32:51,Sensor Failure,Critical,1,10.56,433057.37,Resolved
FLR000073,MCH0137,LIN006,FAC002,2023-06-24 17:39:04,Bearing Failure,Major,5,9.09,1052276.87,Resolved
FLR000074,MCH0031,LIN010,FAC004,2025-07-28 10:47:41,Electrical Fault,Major,4,4.98,214998.7,Resolved
FLR000075,MCH0396,LIN028,FAC010,2023-01-16 17:40:38,Bearing Failure,Major,6,9.13,922780.18,Resolved
FLR000076,MCH0351,LIN021,FAC007,2023-07-10 06:22:24,Excessive Vibration,Major,1,2.9,212540.43,Open
FLR000077,MCH0276,LIN012,FAC004,2023-06-12 16:51:41,Excessive Vibration,Major,3,2.17,170418.15,Resolved
FLR000078,MCH0487,LIN023,FAC008,2026-04-21 00:39:08,Sensor Failure,Critical,3,11.48,661472.39,Open
FLR000079,MCH0239,LIN015,FAC005,2026-02-10 22:26:45,Tool Wear,Major,1,3.08,91481.55,Open
FLR000080,MCH0463,LIN018,FAC006,2023-04-15 05:54:27,Bearing Failure,Major,3,11.01,655288.95,Open
FLR000081,MCH0229,LIN014,FAC005,2024-12-21 23:00:17,Lubrication Failure,Minor,5,5.2,496520.86,Resolved
FLR000082,MCH0197,LIN001,FAC001,2024-09-25 15:11:25,Bearing Failure,Critical,7,17.08,638487.58,Resolved
FLR000083,MCH0427,LIN027,FAC009,2024-07-07 23:06:30,Bearing Failure,Major,4,2.62,131694.19,Resolved
FLR000084,MCH0090,LIN018,FAC006,2026-05-06 13:42:46,Excessive Vibration,Major,4,4.22,209732.62,Resolved
FLR000085,MCH0133,LIN013,FAC005,2023-10-31 06:14:57,Hydraulic Leak,Major,7,7.68,485865.97,Open
FLR000086,MCH0125,LIN008,FAC003,2025-05-06 15:01:06,Excessive Vibration,Critical,3,13.71,1439301.86,Resolved
FLR000087,MCH0037,LIN022,FAC008,2026-03-07 02:16:59,Tool Wear,Minor,4,11.46,1358695.5,Resolved
FLR000088,MCH0426,LIN009,FAC003,2026-02-22 05:20:11,Overheating,Major,1,7.08,191078.48,Resolved
FLR000089,MCH0257,LIN013,FAC005,2024-01-30 20:24:24,Lubrication Failure,Critical,7,19.31,1359507.42,Resolved
FLR000090,MCH0391,LIN007,FAC003,2023-02-05 12:25:53,Electrical Fault,Major,2,3.45,296123.08,Open
FLR000091,MCH0440,LIN027,FAC009,2025-08-12 02:25:48,Tool Wear,Major,7,2.69,247597.28,Resolved
FLR000092,MCH0598,LIN029,FAC010,2025-01-20 11:58:04,Sensor Failure,Critical,6,14.71,589040.2,Resolved
FLR000093,MCH0415,LIN008,FAC003,2025-04-01 11:50:31,Overheating,Minor,4,1.59,135144.05,Open
FLR000094,MCH0534,LIN027,FAC009,2023-01-29 04:19:31,Lubrication Failure,Major,1,4.05,418202.62,Resolved
FLR000095,MCH0403,LIN002,FAC001,2025-11-17 10:14:25,Overheating,Critical,3,19.53,2158912.21,Resolved
FLR000096,MCH0476,LIN023,FAC008,2023-04-12 10:25:09,Electrical Fault,Minor,3,2.4,218291.03,Resolved
FLR000097,MCH0515,LIN012,FAC004,2023-04-26 17:52:51,Excessive Vibration,Major,1,13.36,1336492.84,Open
FLR000098,MCH0092,LIN005,FAC002,2026-02-12 02:11:39,Electrical Fault,Minor,5,5.54,417845.14,Resolved
FLR000099,MCH0325,LIN011,FAC004,2025-10-16 14:42:00,Excessive Vibration,Minor,6,1.05,92670.3,Open
FLR000100,MCH0250,LIN007,FAC003,2024-04-18 16:14:53,Tool Wear,Critical,1,17.81,1810275.89,Resolved
FLR000101,MCH0080,LIN020,FAC007,2024-08-07 16:26:07,Hydraulic Leak,Minor,1,2.1,160419.68,Resolved
FLR000102,MCH0380,LIN003,FAC001,2025-03-23 08:10:44,Electrical Fault,Major,5,8.1,623902.06,Resolved
FLR000103,MCH0359,LIN019,FAC007,2023-04-08 11:26:40,Lubrication Failure,Minor,3,3.71,117405.04,Open
FLR000104,MCH0394,LIN001,FAC001,2024-04-19 17:26:52,Excessive Vibration,Major,6,4.57,523550.98,Resolved
FLR000105,MCH0115,LIN002,FAC001,2024-02-29 21:49:36,Sensor Failure,Major,5,4.85,180098.24,Resolved
FLR000106,MCH0349,LIN024,FAC008,2024-01-13 21:10:02,Lubrication Failure,Major,5,21.1,1190397.87,Open
FLR000107,MCH0585,LIN026,FAC009,2026-01-16 06:33:39,Electrical Fault,Minor,2,8.34,718007.26,Resolved
FLR000108,MCH0600,LIN014,FAC005,2025-07-19 13:46:39,Electrical Fault,Major,3,3.81,408262.64,Resolved
FLR000109,MCH0164,LIN029,FAC010,2023-07-28 22:56:28,Overheating,Major,5,4.3,222318.49,Resolved
FLR000110,MCH0155,LIN022,FAC008,2026-04-18 03:54:35,Hydraulic Leak,Critical,2,38.33,2879970.33,Resolved
FLR000111,MCH0035,LIN005,FAC002,2023-02-13 18:32:19,Hydraulic Leak,Major,1,0.74,26239.44,Open
FLR000112,MCH0127,LIN004,FAC002,2025-08-22 17:51:02,Sensor Failure,Minor,5,6.57,511133.52,Resolved
FLR000113,MCH0556,LIN013,FAC005,2025-11-26 04:49:24,Tool Wear,Major,1,2.39,85935.25,Resolved
FLR000114,MCH0160,LIN018,FAC006,2025-02-07 04:01:56,Excessive Vibration,Major,1,4.77,499488.8,Resolved
FLR000115,MCH0101,LIN022,FAC008,2026-03-06 04:26:14,Lubrication Failure,Critical,7,16.19,1215940.31,Resolved
FLR000116,MCH0366,LIN019,FAC007,2024-12-25 05:02:12,Tool Wear,Critical,2,12.53,778290.96,Resolved
FLR000117,MCH0025,LIN017,FAC006,2025-03-12 04:43:43,Bearing Failure,Major,6,2.74,146975.55,Resolved
FLR000118,MCH0269,LIN002,FAC001,2023-06-19 23:38:34,Hydraulic Leak,Minor,1,8.02,466096.52,Resolved
FLR000119,MCH0014,LIN029,FAC010,2025-05-17 08:07:03,Electrical Fault,Minor,3,6.58,169401.23,Resolved
FLR000120,MCH0392,LIN005,FAC002,2023-01-28 14:04:42,Hydraulic Leak,Minor,1,3.81,370177.3,Resolved
FLR000121,MCH0292,LIN015,FAC005,2023-01-18 02:21:05,Overheating,Major,2,1.7,161896.94,Open
FLR000122,MCH0265,LIN011,FAC004,2023-02-13 11:27:24,Lubrication Failure,Major,2,2.71,312325.66,Resolved
FLR000123,MCH0320,LIN011,FAC004,2025-02-25 22:24:08,Lubrication Failure,Major,6,6.6,165341.9,Resolved
FLR000124,MCH0299,LIN014,FAC005,2024-03-22 08:00:25,Excessive Vibration,Major,5,18.47,910301.66,Resolved
FLR000125,MCH0555,LIN021,FAC007,2023-08-27 16:03:56,Tool Wear,Major,4,9.66,630362.27,Open
FLR000126,MCH0086,LIN003,FAC001,2023-09-09 04:43:01,Electrical Fault,Major,2,3.52,205432.67,Resolved
FLR000127,MCH0028,LIN004,FAC002,2026-04-23 00:47:34,Tool Wear,Major,6,3.56,331960.43,Resolved
FLR000128,MCH0088,LIN015,FAC005,2025-10-14 05:42:30,Bearing Failure,Minor,3,5.31,468536.2,Resolved
FLR000129,MCH0422,LIN002,FAC001,2026-02-27 04:29:57,Lubrication Failure,Major,4,6.7,410655.03,Resolved
FLR000130,MCH0114,LIN004,FAC002,2023-09-22 07:11:59,Overheating,Critical,1,13.97,1171841.48,Resolved
FLR000131,MCH0479,LIN007,FAC003,2024-03-02 10:11:24,Lubrication Failure,Major,5,7.27,375082.43,Open
FLR000132,MCH0509,LIN021,FAC007,2025-06-07 16:59:27,Lubrication Failure,Major,1,12.99,807917.81,Resolved
FLR000133,MCH0527,LIN027,FAC009,2024-11-28 01:19:08,Hydraulic Leak,Minor,2,16.32,1188471.51,Resolved
FLR000134,MCH0426,LIN009,FAC003,2026-02-24 12:13:55,Sensor Failure,Major,7,8.53,984666.99,Resolved
FLR000135,MCH0496,LIN024,FAC008,2023-03-17 09:29:32,Electrical Fault,Major,3,3.02,301080.54,Resolved
