work_order_id,machine_id,line_id,factory_id,linked_failure_event_id,scheduled_timestamp,completion_timestamp,maintenance_type,maintenance_reason,action_taken,maintenance_downtime_hours,parts_cost_inr,labor_cost_inr,total_maintenance_cost_inr,technician_id,work_order_status
MWO000001,MCH0340,LIN012,FAC004,FLR001989,2025-10-03 06:50:27,2025-10-03 09:10:51,Corrective,Overheating,Inspection,2.34,20299.29,3370.41,23669.7,TECH067,Completed
MWO000002,MCH0459,LIN006,FAC002,FLR000903,2024-07-13 19:21:54,2024-07-13 21:11:06,Corrective,Bearing Failure,Calibration,1.82,16948.13,2161.39,19109.52,TECH060,Completed
MWO000003,MCH0470,LIN002,FAC001,FLR001426,2024-06-22 01:36:00,2024-06-22 11:34:12,Emergency,Sensor Failure,Replace Component,9.97,69284.59,15474.64,84759.23,TECH138,Completed
MWO000004,MCH0536,LIN030,FAC010,FLR002583,2026-03-01 22:00:30,2026-03-02 01:26:54,Corrective,Electrical Fault,Lubrication,3.44,12240.71,4715.12,16955.83,TECH089,Completed
MWO000005,MCH0160,LIN018,FAC006,FLR002948,2024-08-22 01:19:01,2024-08-22 09:22:01,Corrective,Excessive Vibration,Alignment,8.05,48792.04,11157.91,59949.95,TECH098,Completed
MWO000006,MCH0172,LIN008,FAC003,FLR000315,2023-09-17 00:23:38,2023-09-17 03:14:02,Corrective,Excessive Vibration,Electrical Repair,2.84,5003.3,6451.77,11455.07,TECH097,Completed
MWO000007,MCH0062,LIN011,FAC004,FLR000979,2024-12-18 13:59:22,2024-12-18 22:16:46,Emergency,Tool Wear,Electrical Repair,8.29,52120.08,15981.29,68101.37,TECH083,Completed
MWO000008,MCH0495,LIN009,FAC003,FLR001554,2024-02-25 15:46:33,2024-02-25 21:56:09,Emergency,Tool Wear,Replace Component,6.16,36401.95,9624.77,46026.72,TECH094,Completed
MWO000009,MCH0363,LIN017,FAC006,FLR002020,2023-01-13 04:35:51,2023-01-13 05:52:03,Corrective,Sensor Failure,Replace Component,1.27,7831.12,1818.79,9649.91,TECH088,In Progress
MWO000010,MCH0306,LIN010,FAC004,FLR002155,2023-07-05 03:48:17,2023-07-05 08:03:17,Corrective,Tool Wear,Electrical Repair,4.25,30178.14,5544.31,35722.45,TECH055,Completed
MWO000011,MCH0333,LIN028,FAC010,FLR001179,2025-05-27 06:38:44,2025-05-27 07:18:56,Corrective,Excessive Vibration,Calibration,0.67,15310.49,1390.03,16700.52,TECH057,Completed
