

supplier_id,supplier_name,region,supplier_category,quality_rating,average_lead_time_days,delivery_reliability,supplier_status
SUP0001,Industrial Supplier 001,West,Electronic Parts,0.938,33,0.903,Approved
SUP0002,Industrial Supplier 002,East,Mechanical Parts,0.828,8,0.883,Approved
SUP0003,Industrial Supplier 003,South,Electronic Parts,0.955,9,0.816,Approved
SUP0004,Industrial Supplier 004,West,Electronic Parts,0.946,6,0.89,Approved
SUP0005,Industrial Supplier 005,North,Mechanical Parts,0.851,35,0.834,Approved
SUP0006,Industrial Supplier 006,Central,Raw Material,0.865,30,0.785,Conditional
SUP0007,Industrial Supplier 007,South,Electronic Parts,0.988,12,0.935,Approved
SUP0008,Industrial Supplier 008,West,Mechanical Parts,0.982,20,0.846,Approved
SUP0009,Industrial Supplier 009,East,Electronic Parts,0.875,17,0.935,Approved
SUP0010,Industrial Supplier 010,East,Raw Material,0.864,14,0.782,Approved
SUP0011,Industrial Supplier 011,North,Mechanical Parts,0.922,16,0.814,Approved
SUP0012,Industrial Supplier 012,South,Electronic Parts,0.876,28,0.852,Approved
SUP0013,Industrial Supplier 013,South,Packaging,0.931,13,0.888,Approved
SUP0014,Industrial Supplier 014,North,Electronic Parts,0.873,35,0.859,Approved
SUP0015,Industrial Supplier 015,Central,Mechanical Parts,0.908,11,0.815,Conditional
SUP0016,Industrial Supplier 016,South,Raw Material,0.917,32,0.947,Approved
SUP0017,Industrial Supplier 017,Central,Raw Material,0.974,23,0.814,Approved
SUP0018,Industrial Supplier 018,East,Mechanical Parts,0.88,3,0.94,Conditional
SUP0019,Industrial Supplier 019,East,Mechanical Parts,0.868,5,0.944,Approved
SUP0020,Industrial Supplier 020,North,Mechanical Parts,0.863,18,0.906,Approved
SUP0021,Industrial Supplier 021,East,Raw Material,0.984,22,0.968,Conditional
SUP0022,Industrial Supplier 022,West,Mechanical Parts,0.857,14,0.783,Conditional
SUP0023,Industrial Supplier 023,East,Packaging,0.863,19,0.863,Approved
SUP0024,Industrial Supplier 024,East,Raw Material,0.904,19,0.788,Conditional
SUP0025,Industrial Supplier 025,West,Mechanical Parts,0.993,27,0.791,Approved
SUP0026,Industrial Supplier 026,West,Electronic Parts,0.844,35,0.798,Approved
SUP0027,Industrial Supplier 027,West,Mechanical Parts,0.862,27,0.938,Conditional
SUP0028,Industrial Supplier 028,West,Raw Material,0.841,24,0.791,Approved
SUP0029,Industrial Supplier 029,North,Raw Material,0.835,17,0.824,Approved
SUP0030,Industrial Supplier 030,Central,Packaging,0.882,22,0.938,Approved
SUP0031,Industrial Supplier 031,South,Electronic Parts,0.914,30,0.841,Approved
SUP0032,Industrial Supplier 032,East,Electronic Parts,0.961,28,0.908,Approved
SUP0033,Industrial Supplier 033,East,Packaging,0.924,35,0.842,Approved
SUP0034,Industrial Supplier 034,East,Raw Material,0.93,18,0.882,Approved
SUP0035,Industrial Supplier 035,North,Raw Material,0.964,27,0.812,Approved
SUP0036,Industrial Supplier 036,South,Electronic Parts,0.919,9,0.845,Approved
SUP0037,Industrial Supplier 037,West,Electronic Parts,0.932,6,0.795,Conditional
SUP0038,Industrial Supplier 038,South,Electronic Parts,0.847,27,0.915,Conditional
