product_id,supplier_id,product_name,product_category,material,process_complexity,target_cycle_time_minutes,standard_unit_cost_inr,dimensional_tolerance_mm,quality_grade
PRD0001,SUP0143,Packaging Unit 001,Packaging Unit,ABS Plastic,Medium,4.24,5072.36,0.424,A
PRD0002,SUP0183,Electrical Component 002,Electrical Component,Steel,High,4.36,5589.11,0.246,C
PRD0003,SUP0011,Automotive Part 003,Automotive Part,Aluminium,Low,7.03,849.1,0.278,A
PRD0004,SUP0073,Automotive Part 004,Automotive Part,Composite,Low,5.58,2074.65,0.13,A
PRD0005,SUP0166,Plastic Component 005,Plastic Component,ABS Plastic,Medium,6.03,4581.27,0.398,A
PRD0006,SUP0088,Electrical Component 006,Electrical Component,Stainless Steel,High,2.91,1315.55,0.085,B
PRD0007,SUP0078,Mechanical Part 007,Mechanical Part,Composite,Medium,5.26,3241.31,0.349,B
PRD0008,SUP0198,Electrical Component 008,Electrical Component,Stainless Steel,Medium,7.55,3942.03,0.088,B
PRD0009,SUP0056,Packaging Unit 009,Packaging Unit,Stainless Steel,Low,3.94,6341.09,0.191,B
PRD0010,SUP0035,Automotive Part 010,Automotive Part,Composite,High,3.53,1932.92,0.217,A
PRD0011,SUP0200,Plastic Component 011,Plastic Component,Composite,High,1.59,4246.64,0.102,A
PRD0012,SUP0191,Mechanical Part 012,Mechanical Part,Stainless Steel,High,5.52,3841.64,0.125,A
PRD0013,SUP0182,Automotive Part 013,Automotive Part,Aluminium,Low,3.04,683.27,0.176,C
PRD0014,SUP0083,Automotive Part 014,Automotive Part,Copper,Low,7.27,4435.08,0.26,A
PRD0015,SUP0154,Packaging Unit 015,Packaging Unit,Composite,Medium,8.24,2372.5,0.395,C
PRD0016,SUP0177,Automotive Part 016,Automotive Part,Steel,Low,5.17,5840.85,0.428,C
PRD0017,SUP0166,Mechanical Part 017,Mechanical Part,Composite,Medium,2.5,4089.35,0.436,B
PRD0018,SUP0091,Mechanical Part 018,Mechanical Part,ABS Plastic,High,3.12,2568.11,0.151,A
PRD0019,SUP0048,Mechanical Part 019,Mechanical Part,Aluminium,High,6.18,2152.27,0.213,A
PRD0020,SUP0076,Mechanical Part 020,Mechanical Part,ABS Plastic,Low,7.74,3263.91,0.064,C
PRD0021,SUP0089,Electrical Component 021,Electrical Component,Stainless Steel,Low,6.83,755.73,0.271,C
PRD0022,SUP0149,Packaging Unit 022,Packaging Unit,Aluminium,Low,5.6,2876.47,0.054,A
PRD0023,SUP0110,Automotive Part 023,Automotive Part,Stainless Steel,Medium,4.79,2442.6,0.324,C
PRD0024,SUP0198,Automotive Part 024,Automotive Part,Copper,Medium,6.59,1372.43,0.29,A
PRD0025,SUP0074,Automotive Part 025,Automotive Part,Copper,Medium,0.81,5026.44,0.322,A
PRD0026,SUP0022,Automotive Part 026,Automotive Part,Stainless Steel,Medium,2.58,2808.67,0.288,B
PRD0027,SUP0001,Packaging Unit 027,Packaging Unit,Stainless Steel,Low,6.54,4583.62,0.082,B
PRD0028,SUP0101,Mechanical Part 028,Mechanical Part,Copper,Low,2.73,1843.88,0.346,C
PRD0029,SUP0108,Electrical Component 029,Electrical Component,Composite,Medium,6.25,1645.8,0.271,B
PRD0030,SUP0031,Automotive Part 030,Automotive Part,Copper,Medium,2.04,2336.76,0.169,C
PRD0031,SUP0058,Electrical Component 031,Electrical Component,Steel,Medium,2.72,950.62,0.243,A
PRD0032,SUP0022,Packaging Unit 032,Packaging Unit,ABS Plastic,Low,5.84,279.53,0.25,B
PRD0033,SUP0053,Packaging Unit 033,Packaging Unit,Composite,Medium,2.77,1784.22,0.06,B
PRD0034,SUP0123,Plastic Component 034,Plastic Component,Aluminium,Low,5.92,5620.29,0.301,A
PRD0035,SUP0182,Electrical Component 035,Electrical Component,Aluminium,Low,3.96,4870.88,0.22,B
PRD0036,SUP0002,Mechanical Part 036,Mechanical Part,Copper,Low,5.96,1014.45,0.039,B
PRD0037,SUP0032,Mechanical Part 037,Mechanical Part,Aluminium,Medium,2.73,5533.92,0.048,B
PRD0038,SUP0071,Automotive Part 038,Automotive Part,Aluminium,Medium,7.36,3109.46,0.112,A
PRD0039,SUP0072,Packaging Unit 039,Packaging Unit,Aluminium,High,4.56,3870.24,0.473,C
PRD0040,SUP0160,Mechanical Part 040,Mechanical Part,Aluminium,Low,1.93,5465.55,0.093,A
