downtime_event_id,machine_id,line_id,factory_id,linked_failure_event_id,linked_work_order_id,event_timestamp,downtime_cause,duration_hours,estimated_lost_units,estimated_loss_inr,resolution_status,impact_level
DTE000001,MCH0296,LIN026,FAC009,FLR000001,MWO000001,2026-02-12 11:52:47,Machine Breakdown,4.96,549,398037.83,Resolved,Medium
DTE000002,MCH0573,LIN004,FAC002,FLR000002,MWO000002,2025-05-24 10:22:32,Machine Breakdown,4.01,634,671146.8,Resolved,High
DTE000003,MCH0388,LIN011,FAC004,FLR000003,MWO000003,2023-08-11 10:12:05,Machine Breakdown,10.37,2025,1574258.15,Resolved,Medium
DTE000004,MCH0202,LIN009,FAC003,FLR000004,MWO000004,2024-01-01 21:26:00,Machine Breakdown,17.13,3692,3308032.43,Resolved,Medium
DTE000005,MCH0321,LIN029,FAC010,FLR000005,MWO000005,2025-04-01 13:33:41,Machine Breakdown,5.65,651,409580.56,Resolved,Low
DTE000006,MCH0600,LIN014,FAC005,FLR000006,MWO000006,2025-02-04 01:05:08,Machine Breakdown,6.53,1556,1829715.18,Resolved,Low
DTE000007,MCH0442,LIN001,FAC001,FLR000007,MWO000007,2024-08-23 12:00:31,Machine Breakdown,11.24,1800,1740735.24,Open,High
DTE000008,MCH0212,LIN030,FAC010,FLR000008,MWO000008,2025-07-16 05:02:34,Machine Breakdown,6.69,1091,1253542.61,Resolved,Low
DTE000009,MCH0287,LIN017,FAC006,FLR000009,MWO000009,2024-10-17 03:39:42,Machine Breakdown,2.21,423,209454.81,Resolved,High
DTE000010,MCH0466,LIN005,FAC002,FLR000010,MWO000010,2024-04-02 08:38:36,Machine Breakdown,2.81,165,67192.71,Resolved,Critical
DTE000011,MCH0336,LIN021,FAC007,FLR000011,MWO000011,2023-02-25 01:17:50,Machine Breakdown,5.39,622,654431.9,Resolved,Critical
DTE000012,MCH0128,LIN027,FAC009,FLR000012,MWO000012,2025-11-24 14:58:27,Machine Breakdown,3.2,200,200243.88,Resolved,Medium
DTE000013,MCH0309,LIN007,FAC003,FLR000013,MWO000013,2023-12-10 09:23:55,Machine Breakdown,8.75,534,388362.0,Resolved,High
DTE000014,MCH0569,LIN014,FAC005,FLR000014,MWO000014,2024-06-29 14:09:24,Machine Breakdown,4.65,797,619527.11,Resolved,High
DTE000015,MCH0232,LIN030,FAC010,FLR000015,MWO000015,2023-07-12 15:42:47,Machine Breakdown,9.66,2307,1262402.16,Resolved,High
DTE000016,MCH0215,LIN014,FAC005,FLR000016,MWO000016,2023-01-05 20:43:19,Machine Breakdown,1.27,291,209466.18,Resolved,Medium
DTE000017,MCH0551,LIN025,FAC009,FLR000017,MWO000017,2023-02-25 18:52:09,Machine Breakdown,2.52,409,295693.86,Resolved,High
DTE000018,MCH0073,LIN002,FAC001,FLR000018,MWO000018,2026-04-24 06:53:51,Machine Breakdown,7.52,1053,1021205.94,Resolved,Low
DTE000019,MCH0053,LIN007,FAC003,FLR000019,MWO000019,2026-03-05 12:51:50,Machine Breakdown,3.53,291,345717.17,Resolved,Medium
DTE000020,MCH0554,LIN028,FAC010,FLR000020,MWO000020,2025-09-15 10:26:16,Machine Breakdown,11.23,601,309734.99,Resolved,High
DTE000021,MCH0072,LIN011,FAC004,FLR000021,MWO000021,2023-01-09 10:24:31,Machine Breakdown,2.67,124,61166.32,Open,High
DTE000022,MCH0199,LIN008,FAC003,FLR000022,MWO000022,2023-08-16 00:24:19,Machine Breakdown,7.66,1599,1517720.52,Resolved,Medium
DTE000023,MCH0587,LIN024,FAC008,FLR000023,MWO000023,2023-10-15 07:45:24,Machine Breakdown,2.15,459,305337.51,Resolved,Low
DTE000024,MCH0256,LIN005,FAC002,FLR000024,MWO000024,2023-10-20 19:22:26,Machine Breakdown,10.71,2272,2602881.6,Resolved,High
DTE000025,MCH0375,LIN005,FAC002,FLR000025,MWO000025,2024-11-04 02:55:03,Machine Breakdown,2.19,393,260370.2,Resolved,High
DTE000026,MCH0182,LIN025,FAC009,FLR000026,MWO000026,2026-02-07 09:30:04,Machine Breakdown,14.04,976,793846.29,Resolved,High
DTE000027,MCH0144,LIN010,FAC004,FLR000027,MWO000027,2025-12-29 23:48:55,Machine Breakdown,5.16,952,783495.33,Resolved,High
DTE000028,MCH0068,LIN009,FAC003,FLR000028,MWO000028,2023-10-23 01:26:46,Machine Breakdown,1.49,355,160810.44,Resolved,Medium
DTE000029,MCH0476,LIN023,FAC008,FLR000029,MWO000029,2023-09-22 00:41:02,Machine Breakdown,3.72,278,325062.72,Resolved,Low
DTE000030,MCH0268,LIN013,FAC005,FLR000030,MWO000030,2024-12-01 15:26:11,Machine Breakdown,1.82,335,128150.84,Resolved,Medium
DTE000031,MCH0064,LIN025,FAC009,FLR000031,MWO000031,2024-03-27 17:28:57,Machine Breakdown,0.79,145,25742.33,Resolved,High
DTE000032,MCH0381,LIN011,FAC004,FLR000032,MWO000032,2025-03-25 17:30:40,Machine Breakdown,4.81,627,188266.48,Resolved,High
DTE000033,MCH0387,LIN005,FAC002,FLR000033,MWO000033,2026-01-28 11:22:32,Machine Breakdown,7.52,513,168970.68,Resolved,Medium
DTE000034,MCH0484,LIN019,FAC007,FLR000034,MWO000034,2025-02-14 05:18:16,Machine Breakdown,5.94,1342,1054965.19,Resolved,Low
DTE000035,MCH0460,LIN030,FAC010,FLR000035,MWO000035,2025-06-11 14:50:41,Machine Breakdown,4.01,191,87568.8,Open,Low
DTE000036,MCH0160,LIN018,FAC006,FLR000036,MWO000036,2026-06-25 04:20:42,Machine Breakdown,18.77,3086,2734445.5,Resolved,Medium
